Project: FIRBU_AM
Revision: FIRBU_AM
Flow Start Date: Thu Oct 11 10:04:31 EEST 2012
Flow End Date: Thu Oct 11 10:19:38 EEST 2012

Detailed Results
Point,base-slow-1200mV-85C,base-slow-1200mV-0C,base-fast-1200mV-0C,1-slow-1200mV-85C,1-slow-1200mV-0C,1-fast-1200mV-0C (Best),2-slow-1200mV-85C,2-slow-1200mV-0C,2-fast-1200mV-0C,3-slow-1200mV-85C,3-slow-1200mV-0C,3-fast-1200mV-0C,4-slow-1200mV-85C,4-slow-1200mV-0C,4-fast-1200mV-0C
Clock Recovery: 'altera_reserved_tck': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Recovery: 'altera_reserved_tck': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Recovery: 'altera_reserved_tck': Worst-case Slack,48.482 ns,48.787 ns,49.505 ns,48.239 ns,48.520 ns,49.388 ns,47.810 ns,48.100 ns,49.206 ns,48.482 ns,48.792 ns,49.506 ns,unknown,unknown,unknown
Clock Recovery: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Recovery: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Recovery: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Worst-case Slack,24997.673 ns,24997.809 ns,24998.967 ns,24997.033 ns,24997.189 ns,24998.711 ns,24997.736 ns,24997.874 ns,24998.999 ns,24997.358 ns,24997.499 ns,24998.828 ns,unknown,unknown,unknown
Clock Recovery: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Recovery: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Recovery: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Worst-case Slack,9995.614 ns,9995.840 ns,9997.803 ns,9995.328 ns,9995.600 ns,9997.479 ns,9995.162 ns,9995.381 ns,9997.628 ns,9996.057 ns,9996.233 ns,9998.085 ns,unknown,unknown,unknown
Clock Recovery: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Recovery: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Recovery: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Worst-case Slack,106.466 ns,106.711 ns,108.798 ns,106.568 ns,106.832 ns,108.635 ns,106.265 ns,106.483 ns,108.738 ns,107.311 ns,107.477 ns,109.249 ns,unknown,unknown,unknown
Clock Recovery: Total Keeper TNS,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,unknown,unknown,unknown
Clock Removal: 'altera_reserved_tck': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Removal: 'altera_reserved_tck': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Removal: 'altera_reserved_tck': Worst-case Slack,1.127 ns,1.029 ns,0.493 ns,1.127 ns,1.030 ns,0.493 ns,1.130 ns,1.033 ns,0.494 ns,1.191 ns,1.097 ns,0.505 ns,unknown,unknown,unknown
